"GL_CODE","GL_DESC"
"2730000A3","AUT PRETS TITRES À SOUSCRIP OBLIGAT"
"2760000A3","PRETS ET TITRES IMPAYÉS"
"2780000A3","CREANCES RATTACHÉES"
"2800000A2","AMORTISSEMENTS"
"2800000A3","AMORTISSEMENTS"
"2801000A4","FRAIS IMMOBILISÉS"
"2801100A5","FRAIS RELATIF AU PACTE SOCIAL"
"2801200A5","FRAIS EMISSIONS DES EMPRUNTS"
"2801300A5","FRAIS AQUISITION IMMOBILISATION"
"2801400A5","FRAIS EXCEPTIONNEL A ETALER"
"2802000A4","IMMOBILISATIONS INCORPORELLES"
"2802100A5","IMMOBILISATION INCORP EN COURS"
"2802200A5","FONDS DE COMMERCE"
"2802300A5","BREVETS, LOGICIELS, LICENCES"
"2802400A5","ETUDES ET RECHERCHES IMMOB"
"2802500A5","AUTRE IMMOB INCORP"
"2820000A3","IMMOBILISATIONS CORPORELLES"
"2822000A4","IMMEUBLES EN LOCATION SIMPLE"
"2823000A4","IMM EN CRD BAIL, EN LOC AVC OPT ACH"
"2823100A5","IMMEUBLES EN LOCATION"
"2823200A5","IMMEUBLES NON LOUÉS"
"2824000A4","IMMEUBLES ACQUIS PAR ADJUDICATION"
"2900000A2","PROVISIONS VALEURS IMMOBILISEES"
"2900000A3","PROVISIONS VALEURS IMMOBILISEES"
"2901000A4","FRAIS IMMOBILISÉS"
"2901100A5","FRAIS RELATIF AU PACTE SOCIAL"
"2901200A5","FRAIS EMISSIONS DES EMPRUNTS"
"2901400A5","FRAIS EXCEPTIONNEL A ETALER"
"2902000A4","IMMOBILISATIONS IN CORPORELLES"
"2902100A5","IMMOBILISATION INCORP EN COURS"
"2902200A5","FONDS DE COMMERCE"
"2902300A5","BREVETS, LOGICIELS, LICENCES"
"2902500A5","AUTRE IMMOB INCORP"
"2911000A4","TERRAIN EN EXPLOITATION BANCAIRE"
"2912000A4","TERRAIN EN LOCATION SIMPLE"
"2913000A4","TERRAINS"
"2913100A5","TERRAIN EN LOCATION"
"2913200A5","TERRAINS NON LOUES"
"2914000A4","TERRAINS ACQUIS"
"2919000A4","AUTRES TERRAINS"
"2920000A3","IMMOBILISATIONS CORPORELLES"
"2921000A4","IMMEUBLES D EXPLOITATION"
"2922000A4","IMMEUBLES EN LOCATION SIMPLE"
"2923000A4","IMM EN CRD BAIL, EN LOC AVC OPT ACH"
"2923100A5","IMMEUBLES EN LOCATION"
